status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3143,400051,83750,2016-05-27T09:25:43Z,purpleyo,Bandra East,"Bandra Kurla Complex Road, Kala Nagar, Bandra East, Mumbai",19.07345,SALE,72.870834,Pittie Chamber,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,2928,400705,98704,2016-06-07T12:21:29Z,purpleyo,Turbhe,"MIDC Main Road, Indira Nagar, Turbhe, Navi Mumbai",19.071444,LEASE,73.0285,Everest Nivara Infotech Park I - Wing A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2492,400030,27400,2016-06-03T12:36:45Z,purpleyo,Worli ,"Dr Annie Besant Road, Municipal Colony, Worli Shivaji Nagar, Worli, Mumbai",19.012136,LEASE,72.82142,Vaswani Chambers Wing A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2968,400071,513000,2016-06-07T07:47:19Z,purpleyo,Chembur,"Gautam Nagar, PL Lokhande Marg, Ghatkopar Mankhurd Link Road, Chembur (West), Mumbai",19.061762,LEASE/SALE,72.91288,Universal Majestic,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3172,400036,97800,2016-05-18T11:06:59Z,purpleyo,Turbhe,"# A-601, S Central Road, MIDC Industrial Area, Turbhe, Navi Mumbai",19.07306,LEASE/SALE,73.027306,Deekay Tech Park,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,2989,400705,304500,2016-06-10T09:35:34Z,purpleyo,Sanpada,"# D-507, Sion - Panvel Highway, MIDC Industrial Area, Sanpada, Navi Mumbai",19.061892,LEASE,73.020256,Shree Sawan Knowledge Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3090,400058,24500,2016-06-29T11:35:40Z,purpleyo,Andheri West,"SV Road, Juhu Lane, Yadav Nagar, Andheri West, Mumbai",19.116024,LEASE,72.843346,Stanford,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2488,400093,45449,2016-03-16T07:10:43Z,purpleyo,Andheri East,"Chakala, Andheri Ghatkopar Link Road, Andheri East, Mumbai",19.110756,LEASE,72.8591,Corporate Avenue Wing D,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,NO,3228,400036,12000,2016-05-23T11:34:25Z,purpleyo,Turbhe,"Bank of India Road, Sion Panvel Highway-4, Sanpada Station, Sector 24, Turbhe, Navi Mumbai",19.067808,SALE,73.01466,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3111,400058,30000,2016-06-30T10:39:02Z,purpleyo,Andheri East,"# 62, Road Number 13, MIDC, Andheri East, Mumbai",19.120983,SALE,72.872505,Novel House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2390,400072,36000,2016-06-29T11:29:21Z,purpleyo,Andheri East,"Mathuradas Vasanji Road, Saki Vihar Road, Saki Naka, Andheri East, Mumbai",19.106112,LEASE,72.885376,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,463,400080,77000,2016-05-11T12:34:11Z,purpleyo,Mulund West,"Lal Bahadur Shastri Marg, Jagjivan Ram Nagar, Mulund West, Mumbai",19.184093,LEASE/SALE,72.9527,360 Degrees Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3217,400053,192000,2016-05-20T13:24:03Z,purpleyo,Andheri West,"New Link Road, Sundervan Complex Road, Shastri Nagar, Andheri West, Mumbai",19.13758,LEASE,72.831375,Laxmi Mall,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2417,400059,25200,2016-06-29T12:45:53Z,purpleyo,Andheri East,"Cardinal Gracias Road, J.B. Nagar, Tarun Bharat, Andheri East, Mumbai",19.107424,LEASE,72.86387,Silver Astra,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1102,400021,110844,2016-03-02T10:03:56Z,purpleyo,Nariman Point,"Jamnalal Bajaj Road, Nariman Point, Mumbai",18.924742,LEASE,72.821625,Atlanta ,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,2914,400058,92032,2016-06-01T12:02:11Z,purpleyo,Andheri East,"# B-34, Andheri - Kurla Road, Mota Nagar, Andheri East, Mumbai",19.114447,SALE,72.860756,Rustomjee Commercial Spaces - Wing A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,508,400059,218621,2016-03-11T04:44:12Z,purpleyo,Andheri East,"Andheri-Kurla Road, Andheri East, Mumbai",19.108305,LEASE/SALE,72.88364,Ajmera Times Square Tower B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3101,400092,38637,2016-06-28T09:38:26Z,purpleyo,Borivali West,"Swamy Vivekananda Road, Mulji Nagar, Borivali West, Mumbai",19.220125,LEASE,72.852325,Agarwal Xis,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3137,400051,13500,2016-05-16T10:33:48Z,purpleyo,Bandra East,"Kherwadi Road, Bandra East, Mumbai",19.060305,SALE,72.8454,Granth,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2400,400070,20000,2016-05-31T07:13:39Z,purpleyo,Kurla West,"# 202/203, Lal Bahadur Shastri Marg, Taximens Colony, Kurla West, Mumbai",19.070126,SALE,72.87553,Narang Trellis,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,542,400051,317310,2016-03-31T13:02:10Z,purpleyo,Bandra East,"A-Wing, Anant Kanekar Marg, Station Road, Bandra East, Mumbai",19.055117,LEASE/SALE,72.84442,HDIL Towers,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,709,400705,133885,2016-05-16T08:38:25Z,purpleyo,Vashi,"Sion - Panvel Highway, Sector 18, Vashi, Navi Mumbai",19.0686,LEASE,73.007355,The Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3082,400047,80000,2016-06-07T07:17:16Z,purpleyo,Amboli,"Amboli Naka, Swami Vivekanand Road, Jogeshwari West, Amboli, Mumbai",19.127851,LEASE,72.84693,Suvidha Square,
