city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4555215,05/25/2016,Commercial: Office Space,300,Ambernath West,Semi Furnished,Sulekha,24 lakhs,Sale,Commercial,Shagun Enterprises,Aditya Platinam
Mumbai,4619174,06/17/2016,Commercial: Office Space,533,Vikhroli West,immediate,Sulekha,74.62 lakhs,Sale,Commercial,Mr Gurdeep Singh,
Mumbai,4319126,05/09/2016,Commercial: Office Space,480,Malad West,immediate,Sulekha,73.44 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4518499,05/12/2016,Commercial: Showrooms/Shops,245,Ambernath West,may 2017,Sulekha,22.3 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4255645,06/14/2016,Commercial: Showrooms/Shops,274,Karjat,Aug  2016,Sulekha,21.92 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4214656,05/31/2016,Commercial: Office Space,2010,Vasai Road West,immediate,Sulekha,1.31 crores,Sale,Commercial,Pankaj Soni,
Mumbai,3726227,06/14/2016,Commercial: Showrooms/Shops,216,Dombivali East,Immediate,Sulekha,16.2 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,3726223,06/14/2016,Commercial: Showrooms/Shops,185,Dombivali East,Immediate,Sulekha,16.65 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4249418,06/12/2016,Commercial: Office Space,902,Borivali East,jun 2016,Sulekha,1.44 crores,Sale,Commercial,Pankaj Soni,
Mumbai,4627412,06/16/2016,Commercial: Office Space,533,Vikhroli West,immediate,Sulekha,74.62 lakhs,Sale,Commercial,Mr Gurdeep Singh,
Mumbai,4255646,06/14/2016,Commercial: Showrooms/Shops,282,Karjat,Aug  2016,Sulekha,22.56 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4241153,05/23/2016,Commercial: Showrooms/Shops,290,Ambernath West,dec 2016,Sulekha,23.49 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4109734,05/23/2016,Commercial: Showrooms/Shops,335,Ambernath West,dec 2016,Sulekha,27.14 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4352806,06/21/2016,Commercial: Office Space,18000,Jogeshwari East,New,Sulekha,25.2 crores,Sale,Commercial,Golden Homes,Lotus Corporate Park
Mumbai,4382761,05/29/2016,Commercial: Office Space,12000,Ghatkopar East,immediate,Sulekha,1.2 crores,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4255651,05/12/2016,Commercial: Showrooms/Shops,400,Karjat,Aug  2016,Sulekha,32 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4247770,06/12/2016,Commercial: Office Space,500,Andheri East,immediate,Sulekha,75 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,3726225,06/14/2016,Commercial: Showrooms/Shops,210,Dombivali East,Immediate,Sulekha,18.9 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4348218,06/21/2016,Commercial: Office Space,18000,Andheri West,Immediate,Sulekha,23.5 crores,Sale,Commercial,Golden Homes,
Mumbai,4102790,05/23/2016,Commercial: Showrooms/Shops,670,Ambernath West,dec 2016,Sulekha,45.23 lakhs,Sale,Commercial,R.S Enterprises,
Mumbai,4386494,05/30/2016,Commercial: Office Space,1000,Ghatkopar East,immediate,Sulekha,1.2 crores,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4251406,06/13/2016,Commercial: Restaurant/Bar/Hotel,2333,Borivali East,jun 2016,Sulekha,3.73 crores,Sale,Commercial,Pankaj Soni,
Mumbai,4518560,05/12/2016,Commercial: Showrooms/Shops,335,Ambernath West,may 2017,Sulekha,42.21 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4515957,05/11/2016,Commercial: Office Space,1300,Matunga East,immediate,Sulekha,3.5 crores,Sale,Commercial,Pankaj Soni,
Mumbai,3724721,06/14/2016,Commercial: Showrooms/Shops,211,Dombivali East,Immediate,Sulekha,18.9 lakhs,Sale,Commercial,Jai Ambe Enterprises,
