possession,city,property_type,updated_date,management_by_landlord,data_id,areacode,sqft,listing_date,status,platform,config_type,carpet_area,locality,address,lat,txn_type,lng,desc,selling_price,building_name
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260476,,530,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260482,,710,01/30/2015 12:41:16,Under Construction,tigerprop,2BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260481,,1009,01/30/2015 12:41:16,Under Construction,tigerprop,2BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260490,,920,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260489,,995,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260488,,1027,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260480,,408,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260479,,460,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260478,,495,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260477,,510,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260476,,530,01/30/2015 12:41:16,Under Construction,tigerprop,1BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260482,,710,01/30/2015 12:41:16,Under Construction,tigerprop,2BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260481,,1009,01/30/2015 12:41:16,Under Construction,tigerprop,2BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260490,,920,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260489,,995,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5260488,,1027,01/30/2015 12:53:34,Under Construction,tigerprop,3BHK,0,Thane West,"Kharkar Ali, Thane(w), Mumbai",19.19530296,sale,72.98025513,,0,Neelkanth
01/31/2013 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5258890,,595,01/21/2015 05:12:34,Completed,tigerprop,1BHK,0,Kalyan West,"Kalyan West, Mumbai",19.24737549,sale,73.15209961,,0,Rosemary And Rosewood
01/31/2013 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5258891,,925,01/21/2015 05:12:34,Completed,tigerprop,2BHK,0,Kalyan West,"Kalyan West, Mumbai",19.24737549,sale,73.15209961,,0,Rosemary And Rosewood
01/31/2013 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5319002,,1500,10/20/2015 06:49:57,Completed,tigerprop,2BHK,0,Kalyan West,"Kalyan West, Mumbai",19.24737549,sale,73.15209961,,0,Rosemary And Rosewood
