quality1,quality2,quality3,data_id,Building_name,config_type,Selling_price,Monthly_Rent,price_per_sqft,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
1,,1,6602283,Bliss,2BHK,13475000.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,07/07/2016 10:42:45,sale,Apartment,central mumbai,1100,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,665,07/07/2016 05:12:45
1,,1,5252491,Bliss,2BHK,13658750.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,1115,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,665,07/07/2016 05:12:45
1,,1,5252490,Bliss,2BHK,15006250.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,1225,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,740,07/07/2016 05:12:44
1,,1,5283612,Bliss,2BHK,15312500.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,06/01/2015 09:24:16,sale,Apartment,central mumbai,1250,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,765,07/07/2016 05:12:45
1,,1,6602284,Bliss,2BHK,15496250.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,07/07/2016 10:42:45,sale,Apartment,central mumbai,1265,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,765,07/07/2016 05:12:45
1,,1,6554936,Bliss,2BHK,15618750.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,06/15/2016 13:07:03,sale,Apartment,central mumbai,1275,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,770,07/07/2016 05:12:45
1,,1,5252495,Bliss,3BHK,20518750.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,1675,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,992,07/07/2016 05:12:45
1,,1,5283613,Bliss,3BHK,20518750.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,06/01/2015 09:24:16,sale,Apartment,central mumbai,1675,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,998,07/07/2016 05:12:45
1,,1,5252494,Bliss,3BHK,21437500.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,12/17/2014 11:12:37,sale,Apartment,central mumbai,1750,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,1028,07/07/2016 05:12:45
1,,1,5283614,Bliss,3BHK,21743750.0,0,11092.8336,19.13327599,72.93379211,tigerprop,Mumbai,06/01/2015 09:24:16,sale,Apartment,central mumbai,1775,Under Construction,Runwal Group,None,None,"Crompton Greaves Compound, Kanjurmarg, Mumbai",false,Kanjurmarg,None,None,10/31/2019 18:30:00,,None,50013,None,1035,07/07/2016 05:12:45
