city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4654628,06/25/2016,Apartments / Flats,410,Bhivpuri,1 BHK,Sulekha,1066000.0,Sale,Residential,Poddar Developers Ltd.,Svakam Vihar
Mumbai,4232863,06/06/2016,Apartments / Flats,675,Diva Junction East,1 BHK,Sulekha,2700000.0,Sale,Residential,patil developers,Sudama Greens
Mumbai,4597944,06/08/2016,Apartments / Flats,550,Nalasopara West,1 BHK,Sulekha,1732999.9999999998,Sale,Residential,Nishantkumar,Sundeep Height
Mumbai,4138879,06/30/2016,Apartments / Flats,612,Badlapur East,1 BHK,Sulekha,1499000.0,Sale,Residential,Arihant Enterprises,
Mumbai,4008211,06/02/2016,Apartments / Flats,615,Ambernath West,1 BHK,Sulekha,1814000.0,Sale,Residential,Laxmi Kamal Associates,Laxmi Kamal Shankar Heights Phase II
Mumbai,4347942,06/07/2016,Commercial: Office Space,462,Vikhroli West,,Sulekha,6468000.000000001,Sale,Commercial,Groupin Estates,
Mumbai,4367249,05/25/2016,Apartments / Flats,1434,Borivali East,2 BHK,Sulekha,22500000.0,Sale,Residential,Kirankumar M Agrawal,
Mumbai,4227509,06/04/2016,Apartments / Flats,489,Karjat,1 BHK,Sulekha,1760000.0000000002,Sale,Residential,Dedhia Estate,Sheltrex Smart Phone City
Mumbai,4543273,05/21/2016,Apartments / Flats,560,Badlapur East,1 BHK,Sulekha,1878000.0,Sale,Residential,Swami Samarth JV,
Mumbai,4649368,06/23/2016,Apartments / Flats,525,Dombivali East,1 BHK,Sulekha,2551000.0,Sale,Residential,Dgm Property Solutions Pvt Ltd,Lodha Elite
Mumbai,4569187,05/30/2016,Apartments / Flats,590,Vasai Road East,1 BHK,Sulekha,2360000.0,Sale,Residential,aura business group,Meera Avenue
Mumbai,4199233,05/27/2016,Apartments / Flats,365,Kalyan East,1 RK,Sulekha,1022000.0000000001,Sale,Residential,Ambience developers,Ambience Sky
Mumbai,4531985,05/17/2016,Apartments / Flats,900,Dahisar East,2 BHK,Sulekha,9100000.0,Sale,Residential,Pandya,
Mumbai,4534336,06/07/2016,Apartments / Flats,350,Borivali West,1 BHK,Sulekha,9500000.0,Sale,Residential,D'Silva Properties,New Plaza
Mumbai,3995283,06/20/2016,Apartments / Flats,533,Kharbao,1 BHK,Sulekha,1439000.0,Sale,Residential,Ashapura Developer,Poonam Hills
Mumbai,4121649,06/21/2016,Apartments / Flats,604,Badlapur East,1 BHK,Sulekha,1861000.0,Sale,Residential,PRAVIN WAGH,Hrieday
Mumbai,4252827,06/13/2016,Apartments / Flats,1080,Malad West,2 BHK,Sulekha,14500000.0,Sale,Residential,Hill Crest JV,Blue Orbit 3
Mumbai,4643607,06/22/2016,Apartments / Flats,930,Vasai Road West,2 BHK,Sulekha,5766000.0,Sale,Residential,Om estate consultants,
Mumbai,4640245,06/21/2016,Apartments / Flats,1230,Powai,2 BHK,Sulekha,29000000.0,Sale,Residential,Vinod Mamtani,
Mumbai,4645229,06/22/2016,Apartments / Flats,475,Nalasopara West,1 RK,Sulekha,1639999.9999999998,Sale,Residential,shree ashtavinayak realty,
Mumbai,4608483,06/28/2016,Apartments / Flats,550,Palghar East,1 BHK,Sulekha,1293000.0,Sale,Residential,Swastik Properties Real Estate,Laxmi Apartment
Mumbai,4255738,05/12/2016,Commercial: Showrooms/Shops,236,Dombivali East,,Sulekha,1274000.0,Sale,Commercial,Vedant Group of Property,
Mumbai,4393813,06/02/2016,Industrial Space,1000,Thane,immediate,Sulekha,,Sale,Residential,Aptiva Properties,
Mumbai,4552270,05/24/2016,Apartments / Flats,353,Badlapur East,1 BHK,Sulekha,900000.0,Sale,Residential,Indiabulls Distribution services limited,XRBIA Vangani
Mumbai,4566662,05/28/2016,Apartments / Flats,1800,Andheri East,3 BHK,Sulekha,,Sale,Residential,Lewis,Kanakia Rainforest
Mumbai,4436757,06/10/2016,Apartments / Flats,400,Kandivali East,1 BHK,Sulekha,5700000.0,Sale,Residential,Ketan,Spring Grove
Mumbai,4484340,05/19/2016,Villas,3616,Lonavala,4 BHK,Sulekha,15600000.0,Sale,Residential,Niraj Kumar Associates Pvt Ltd,
Mumbai,3793440,06/17/2016,Apartments / Flats,955,Ambernath East,2 BHK,Sulekha,2913000.0,Sale,Residential,TL SHUKLA,
Mumbai,3971584,06/04/2016,Apartments / Flats,395,Badlapur East,1 RK,Sulekha,1067000.0,Sale,Residential,Sarvopari Sahara,
Mumbai,4008073,06/24/2016,Apartments / Flats,1115,Khar West,3 BHK,Sulekha,,Sale,Residential,savla estate consultancy,
Mumbai,4448230,05/16/2016,Apartments / Flats,525,Virar East,1 BHK,Sulekha,1969000.0000000002,Sale,Residential,Siddhi Developers,Siddhi KMC Park
Mumbai,3868363,06/30/2016,Apartments / Flats,680,Badlapur East,1 BHK,Sulekha,2039999.9999999998,Sale,Residential,Vardhaman Group of Companies,Vardhaman Heights
Mumbai,4000560,06/20/2016,Apartments / Flats,550,Ratnagiri,1 BHK,Sulekha,1375000.0,Sale,Residential,Samarth Mega Structure pvt ltd.,
Mumbai,3810553,05/31/2016,Apartments / Flats,675,Dahisar East,2 BHK,Sulekha,,Sale,Residential,Heena lifestyles,Gokul Vaibhav
Mumbai,4497777,07/04/2016,Apartments / Flats,950,Tilak Nagar,2 BHK,Sulekha,13400000.0,Sale,Residential,R amar,
Mumbai,3692838,06/07/2016,Apartments / Flats,1700,Goregaon East,3 BHK,Sulekha,32500000.0,Sale,Residential,Om Prakash Maurya,DB Woods
Mumbai,3256957,06/07/2016,Apartments / Flats,1100,Santacruz West,2 BHK,Sulekha,40000000.0,Sale,Residential,Mr Alnoor,
Mumbai,4555528,06/24/2016,Apartments / Flats,375,Thane,1 RK,Sulekha,1800000.0,Sale,Residential,Harprit Sachdev,
Mumbai,4272386,05/11/2016,Commercial: Showrooms/Shops,1400,Shivaji Park,,Sulekha,80000000.0,Sale,Commercial,SANJAYKATHAR,
Mumbai,4671803,06/30/2016,Apartments / Flats,300,Chembur East,1 BHK,Sulekha,6900000.0,Sale,Residential,Wadhwani,
Mumbai,4306693,07/01/2016,Apartments / Flats,956,Vasai Road East,2 BHK,Sulekha,4400000.0,Sale,Residential,Rajesh,
Mumbai,4534914,05/18/2016,Apartments / Flats,900,Dahisar East,2 BHK,Sulekha,6350000.0,Sale,Residential,sai ganesh estate agency,
Mumbai,4380809,05/28/2016,Villas,2055,Neral,2 BHK,Sulekha,4625000.0,Sale,Residential,Amrik Singh,
Mumbai,4566473,05/28/2016,Apartments / Flats,310,Badlapur East,2 BHK,Sulekha,1345000.0,Sale,Residential,Rohit,
Mumbai,4254621,06/14/2016,Apartments / Flats,1390,Mulund West,2 BHK,Sulekha,20000000.0,Sale,Residential,Klassic Properties,
Mumbai,4640918,06/21/2016,Commercial: Office Space,360,Bhandup West,,Sulekha,6930000.0,Sale,Commercial,SUDHIR BHANUSHALI,Neptune Codename Smash Hit
Mumbai,4469534,06/26/2016,Apartments / Flats,499,Andheri East,1 RK,Sulekha,6990000.000000001,Sale,Residential,Rajesh N Shah,Landmark
Mumbai,4085888,06/07/2016,Apartments / Flats,2000,Byculla East,3 BHK,Sulekha,72000000.0,Sale,Residential,Mohit Ramchandani,
Mumbai,4343380,05/18/2016,Apartments / Flats,570,Nalasopara West,1 BHK,Sulekha,2655000.0,Sale,Residential,Sai Enterprises,
Mumbai,4465045,06/24/2016,Apartments / Flats,600,Mira Road,1 BHK,Sulekha,3996000.0,Sale,Residential,kanchan homes,Sanghvi Eco City
Mumbai,4354632,05/20/2016,Commercial: Showrooms/Shops,3500,Manpada,,Sulekha,100000000.0,Sale,Commercial,LG Propertiez,
Mumbai,4325670,06/30/2016,Apartments / Flats,575,Kandivali East,1 BHK,Sulekha,9800000.0,Sale,Residential,Om Sree Estate Agency,Krisna Palace
Mumbai,4605207,06/13/2016,Commercial: Office Space,500,Andheri West,,Sulekha,12500000.0,Sale,Commercial,Shiv Shakti Estate Agent,
Mumbai,4569049,05/30/2016,Builder/Independent Floors,610,Naigaon East,1 BHK,Sulekha,2400000.0,Sale,Residential,shining star,
Mumbai,4412562,06/28/2016,Apartments / Flats,1650,Thane,3 BHK,Sulekha,25000000.0,Sale,Residential,mulchand gala,Vishnunagar
Mumbai,4137306,07/04/2016,Apartments / Flats,2620,Powai,4 BHK,Sulekha,54000000.0,Sale,Residential,IDEAL REAL ESTATE SOLUTIONS,Raheja Vista
Mumbai,4549508,06/20/2016,Apartments / Flats,540,Naigaon East,1 BHK,Sulekha,2214000.0,Sale,Residential,Sai Priyaa Consultancy,
Mumbai,4437517,06/17/2016,Apartments / Flats,845,Mulund West,2 BHK,Sulekha,,Sale,Residential,Shree Sidhivinayak Housing Agency,
Mumbai,4562362,05/27/2016,Apartments / Flats,675,Thane,1 BHK,Sulekha,5306000.0,Sale,Residential,Mangesh Oak,
Mumbai,4470166,06/26/2016,Apartments / Flats,1627,Kandivali East,3 BHK,Sulekha,20800000.0,Sale,Residential,Jeet Properties,S D Epsilon
Mumbai,4616904,06/14/2016,Apartments / Flats,1150,Parel East,2 BHK,Sulekha,25000000.0,Sale,Residential,Value Properties,
Mumbai,4515065,05/11/2016,Apartments / Flats,1150,Bhandup East,2 BHK,Sulekha,13500000.0,Sale,Residential,BALAJIKRUPA PROPERTIES,
